Date : 2026-05-07 10:59:21
Directory : /home/posedge/work/aiEngine_integrated/picorv32
Total : 133 files,  15176 codes, 907 comments, 2919 blanks, all 19002 lines

Languages
+---------------------------+------------+------------+------------+------------+------------+
| language                  | files      | code       | comment    | blank      | total      |
| /home/posedge/work/aiEngine_integrated/picorv32/scripts/torture/config.py                  | Python                    |         29 |          1 |          6 |         36 |
| /home/posedge/work/aiEngine_integrated/picorv32/scripts/torture/riscv-isa-sim-notrap.diff  | Diff                      |         14 |          0 |          3 |         17 |
| /home/posedge/work/aiEngine_integrated/picorv32/scripts/torture/riscv-isa-sim-sbreak.diff  | Diff                      |         26 |          0 |          1 |         27 |
| /home/posedge/work/aiEngine_integrated/picorv32/scripts/torture/riscv-torture-genloop.diff | Diff                      |         37 |          0 |          4 |         41 |
| /home/posedge/work/aiEngine_integrated/picorv32/scripts/torture/riscv-torture-rv32.diff    | Diff                      |        128 |          0 |         14 |        142 |
| /home/posedge/work/aiEngine_integrated/picorv32/scripts/torture/riscv_test.h               | C++                       |         10 |          0 |          4 |         14 |
| /home/posedge/work/aiEngine_integrated/picorv32/scripts/torture/test.sh                    | Shell Script              |         16 |          4 |         13 |         33 |
| /home/posedge/work/aiEngine_integrated/picorv32/scripts/torture/testbench.cc               | C++                       |         14 |          0 |          5 |         19 |
| /home/posedge/work/aiEngine_integrated/picorv32/scripts/torture/testbench.v                | Verilog                   |        120 |          0 |         15 |        135 |
| /home/posedge/work/aiEngine_integrated/picorv32/scripts/vivado/Makefile                    | Makefile                  |         54 |          1 |         15 |         70 |
| /home/posedge/work/aiEngine_integrated/picorv32/scripts/vivado/firmware.c                  | C                         |         40 |          0 |          4 |         44 |
| /home/posedge/work/aiEngine_integrated/picorv32/scripts/vivado/synth_area.tcl              | Tcl                       |          6 |          0 |          3 |          9 |
| /home/posedge/work/aiEngine_integrated/picorv32/scripts/vivado/synth_area.xdc              | Xilinx Design Constraints |          1 |          0 |          1 |          2 |
| /home/posedge/work/aiEngine_integrated/picorv32/scripts/vivado/synth_area_large.tcl        | Tcl                       |          8 |          0 |          3 |         11 |
| /home/posedge/work/aiEngine_integrated/picorv32/scripts/vivado/synth_area_regular.tcl      | Tcl                       |          8 |          0 |          3 |         11 |
| /home/posedge/work/aiEngine_integrated/picorv32/scripts/vivado/synth_area_small.tcl        | Tcl                       |          8 |          0 |          3 |         11 |
