"filename", "language", "C", "C++", "Verilog", "Makefile", "YAML", "Markdown", "XML", "Python", "Xilinx Design Constraints", "Tcl", "Shell Script", "Diff", "gtkw_waveconfig", "comment", "blank", "total"
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/cxxdemo/hex8tohex32.py", "Python", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 1, 7, 35
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/cxxdemo/syscalls.c", "C", 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 14, 96
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/cxxdemo/testbench.v", "Verilog", 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 115
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/icestorm/Makefile", "Makefile", 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 32, 105
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/icestorm/example.v", "Verilog", 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 13, 81
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/icestorm/example_tb.v", "Verilog", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 31
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/icestorm/firmware.c", "C", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 59
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/icestorm/readme.md", "Markdown", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/presyn/Makefile", "Makefile", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 23
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/presyn/firmware.c", "C", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 44
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/presyn/testbench.v", "Verilog", 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 82
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/quartus/Makefile", "Makefile", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 63
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/quartus/firmware.c", "C", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 44
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/quartus/synth_area.sdc", "Xilinx Design Constraints", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/quartus/synth_area_top.v", "Verilog", 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15, 141
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/quartus/synth_speed.sdc", "Xilinx Design Constraints", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/quartus/synth_system.sdc", "Xilinx Design Constraints", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/quartus/synth_system.tcl", "Tcl", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 1, 6, 18
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/quartus/system.v", "Verilog", 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12, 102
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/quartus/system_tb.v", "Verilog", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 39
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/quartus/table.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 1, 3, 18
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/quartus/tabtest.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 2, 16, 79
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/quartus/tabtest.v", "Verilog", 0, 0, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 119
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/romload/Makefile", "Makefile", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 42
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/romload/firmware.c", "C", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/romload/hex8tohex32.py", "Python", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 1, 7, 35
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/romload/map2debug.py", "Python", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 1, 6, 31
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/romload/syscalls.c", "C", 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 14, 96
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/romload/testbench.v", "Verilog", 0, 0, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 13, 141
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/smtbmc/axicheck.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 2, 5, 14
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/smtbmc/axicheck.v", "Verilog", 0, 0, 178, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 30, 211
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/smtbmc/axicheck2.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 1, 5, 13
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/smtbmc/axicheck2.v", "Verilog", 0, 0, 132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 148
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/smtbmc/mulcmp.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 1, 5, 13
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/smtbmc/mulcmp.v", "Verilog", 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 88
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/smtbmc/notrap_validop.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 1, 5, 14
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/smtbmc/notrap_validop.v", "Verilog", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 68
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/smtbmc/opcode.v", "Verilog", 0, 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 105
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/smtbmc/tracecmp.gtkw", "gtkw_waveconfig", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 0, 1, 72
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/smtbmc/tracecmp.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 1, 5, 13
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/smtbmc/tracecmp.v", "Verilog", 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14, 110
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/smtbmc/tracecmp2.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 1, 5, 13
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/smtbmc/tracecmp2.v", "Verilog", 0, 0, 175, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17, 197
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/smtbmc/tracecmp3.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 5, 18
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/smtbmc/tracecmp3.v", "Verilog", 0, 0, 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20, 136
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/tomthumbtg/run.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 1, 11, 44
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/tomthumbtg/testbench.v", "Verilog", 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11, 84
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/torture/Makefile", "Makefile", 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26, 102
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/torture/asmcheck.py", "Python", 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 1, 7, 37
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/torture/config.py", "Python", 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 1, 6, 36
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/torture/riscv-isa-sim-notrap.diff", "Diff", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 3, 17
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/torture/riscv-isa-sim-sbreak.diff", "Diff", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 1, 27
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/torture/riscv-torture-genloop.diff", "Diff", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 4, 41
"/home/posedge/work/aiEngine_integrated/picorv32/scripts/torture/riscv-torture-rv32.diff", "Diff", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 128, 0, 0, 14, 142
